Issue Type,Summary,Description,Priority,Labels,Epic Link,Components,Story Points,Dependencies,Milestone,Acceptance Criteria
Task,"PT-001: Repository skeleton + module contracts","Problem: The roadmap defines modules, but no enforceable interfaces. Scope: Create package layout and abstract interfaces for agents, mechanisms, metrics, and event schemas.",High,"proteus,architecture,m0",Proteus Core,"core,architecture",5,"",M0,"Directory structure matches roadmap modules; base interfaces compile with type hints; smoke run initializes all core modules."
Task,"PT-002: Deterministic RNG stream manager","Problem: Common random numbers are required for fair treatment comparisons. Scope: Implement seeded stream manager with child streams per subsystem (latent, agents, latency, etc.).",High,"proteus,simulation,m0",Proteus Core,"core,experiments",5,"PT-001",M0,"Same seed reproduces identical event log and metrics; changing one subsystem stream does not perturb others; seed protocol is documented."
Task,"PT-003: Time engine and event model","Problem: Simulation semantics are currently implicit. Scope: Implement clock plus typed events (news, order, fill, batch_clear, rfq_request, rfq_quote, rfq_accept).",High,"proteus,simulation,m0",Proteus Core,"core,execution",5,"PT-001;PT-002",M0,"Event ordering rules are codified and tested; timestamp precision and tie-break policy are explicit; replay from event log reconstructs state."
Task,"PT-004: Accounting and invariant checks","Problem: Incorrect PnL/inventory accounting can invalidate conclusions. Scope: Build accounting engine and invariant test suite.",High,"proteus,validation,m0",Proteus Core,"metrics,validation",5,"PT-003",M0,"Cash/inventory/PnL reconciliation tests pass; zero-sum transfer checks pass per trade; failure reports isolate violating event IDs."
Task,"PT-005: Latent information process (p_t) + signal model","Problem: Core information model exists on paper but not in code. Scope: Implement bounded log-odds process with noise and jumps and per-agent delayed/noisy observations.",High,"proteus,modeling,m0",Proteus Core,"info,agents",5,"PT-002;PT-003",M0,"p_t stays in [0,1]; jump/noise/mean-reversion toggles are configurable; signal delay/noise heterogeneity covered by tests."
Task,"PT-006: Metrics recorder and canonical output schema","Problem: Metrics are listed, but output format is undefined. Scope: Implement mechanism-agnostic recorder and standardized result schema (per-run JSON/Parquet plus summary table).",High,"proteus,metrics,m0",Proteus Core,"metrics,experiments",5,"PT-003;PT-004",M0,"Event log and derived metrics serialize with stable schema version; all non-negotiable metrics are emitted; one command generates run artifact bundle."
Task,"PT-007: CLOB matching engine (price-time priority)","Problem: Baseline mechanism needed before treatment comparisons. Scope: Continuous matching, queue state, partial fills, cancels, and queue-position-aware fills.",Highest,"proteus,clob,m1",Proteus Mechanisms,"mechanisms,execution",8,"PT-003",M1,"Price-time priority tests pass; queue position affects fill outcomes; crossed books/partials/cancel race edge cases are tested."
Task,"PT-008: Agent v1 implementations (MM, informed, noise)","Problem: Comparative experiments need consistent strategy definitions. Scope: Implement v1 behavior specs with shared policy interfaces.",Highest,"proteus,agents,m1",Proteus Core,"agents,core",8,"PT-005;PT-007",M1,"MM reservation/spread equations are configurable and implemented; informed trader thresholding/size scaling implemented; noise trader Poisson arrivals and random side/size implemented."
Task,"PT-009: Execution latency + leakage primitives","Problem: Execution assumptions must be common across mechanisms. Scope: Implement configurable submission/ack/fill latency and explicit leakage model.",High,"proteus,execution,m1",Proteus Core,"execution,mechanisms",5,"PT-003",M1,"Latency distributions are parameterized and reproducible; leakage channels by mechanism are explicitly mapped; tests verify same primitive defaults across mechanisms."
Task,"PT-010: CLOB calibration harness","Problem: Need calibrated baseline where MM survives under low informed intensity. Scope: Build parameter search and diagnostics for survival region.",High,"proteus,calibration,m1",Proteus Experiments,"experiments,analysis",5,"PT-006;PT-008;PT-009",M1,"At least one stable parameter regime meeting survival criteria is found; calibration report includes chosen params and rationale; sensitivity to informed intensity and latency is included."
Task,"PT-011: CLOB baseline experiment pack","Problem: Phase 1 roadmap requires benchmark outputs. Scope: Scenario definitions, Monte Carlo runner, and CI summaries for baseline contrasts.",High,"proteus,experiments,m1",Proteus Experiments,"experiments,analysis",5,"PT-010",M1,"Batched simulations run across defined grid; confidence intervals and effect sizes are reported; reproducible command is documented."
Task,"PT-012: FBA mechanism implementation","Problem: Phase 2 requires auction clearing with configurable interval/allocation. Scope: Implement batch collection, uniform clearing, and tie/allocation policies.",High,"proteus,fba,m2",Proteus Mechanisms,"mechanisms,execution",8,"PT-003",M2,"Clearing price logic validated on deterministic fixtures; supports Delta sweep values in roadmap; allocation policy variants selectable in config."
Task,"PT-013: CLOB vs FBA parity test harness","Problem: Comparisons are invalid without treatment parity checks. Scope: Add automated assertions for equality of all non-mechanism parameters between runs.",High,"proteus,validation,m2",Proteus Experiments,"experiments,validation",5,"PT-011;PT-012",M2,"Run fails when parity contract is violated; logs exact differing config keys; integrated into runner preflight."
Task,"PT-014: Phase 2 sweep + analysis","Problem: Need treatment contrast across batch intervals. Scope: Execute Delta in {50,100,250,500,1000} with common seeds.",High,"proteus,experiments,m2",Proteus Experiments,"experiments,analysis",5,"PT-013",M2,"Produces AS loss/spread/fill delay/RMSE comparison tables; includes confidence intervals and significance notes; artifacts saved in versioned experiment folder."
Task,"PT-015: RFQ mechanism implementation","Problem: Phase 3 requires private quote/accept pipeline. Scope: Implement RFQ request, dealer response, TTL expiry, and acceptance path.",High,"proteus,rfq,m3",Proteus Mechanisms,"mechanisms,execution",8,"PT-003;PT-009",M3,"TTL and response latency are enforced; private information path follows leakage model; multi-dealer competition config is supported."
Task,"PT-016: RFQ scenario sweeps + analysis","Problem: Need protection versus price-discovery tradeoff measurement. Scope: Sweep TTL/latency/dealer competition and compare to baseline.",High,"proteus,experiments,m3",Proteus Experiments,"experiments,analysis",5,"PT-015",M3,"Tradeoff frontiers for key metrics are reported; includes confidence intervals and reproducibility metadata; contrasts use same seed sets as other mechanisms."
Task,"PT-017: Dual-flow batch (optional, gated)","Problem: Advanced mechanism should not begin before parity in earlier phases. Scope: Implement only if M1-M3 parity gates pass.",Medium,"proteus,dual-flow,m3,optional",Proteus Mechanisms,"mechanisms,experiments",8,"PT-014;PT-016",M3,"Gate check enforced in runner; separate buy/sell clears and no maker-maker matching implemented; comparative report generated only after gate satisfaction."
Task,"PT-018: Statistical power and Monte Carlo budget policy","Problem: CIs are requested but minimum sample size/power targets are not specified. Scope: Define minimum run counts and stopping rules.",High,"proteus,stats,quality",Proteus Experiments,"experiments,analysis",5,"PT-011",Cross-cutting,"Policy for CI width targets is documented; runner can continue until precision criterion is met; reports include achieved precision diagnostics."
Task,"PT-019: Regression suite for mechanism sanity cases","Problem: Roadmap mentions sanity checks but no permanent regression set. Scope: Encode deterministic scenario fixtures for each mechanism.",High,"proteus,qa,quality",Proteus Core,"validation,mechanisms",5,"PT-007;PT-012;PT-015",Cross-cutting,"CI runs full sanity suite; golden outputs are versioned and diffed; failure triage points to changed invariants."
Task,"PT-020: Experiment CLI and runbook","Problem: Reproducibility depends on standardized execution workflow. Scope: Implement CLI for run/compare/report and concise runbook.",Medium,"proteus,dx,quality",Proteus Core,"experiments,docs",3,"PT-011;PT-014;PT-016",Cross-cutting,"One command runs each phase; run metadata captures git SHA/config hash/seed set; runbook includes troubleshooting and expected runtime."
Task,"PT-039: Deterministic parallel Monte Carlo execution","Problem: Larger sweep workloads are slow in single-process mode and discourage adequate repetition counts. Scope: Add process-level parallel execution for repetition/scenario batches while preserving deterministic seed partitioning and artifact reproducibility.",High,"proteus,performance,quality",Proteus Experiments,"experiments,runner",5,"PT-011",Cross-cutting,"Runner supports configurable worker count; same config and seed set produce identical outputs regardless of worker count; failure handling/reporting is deterministic with per-worker run IDs; docs include parallel mode guidance and expected speedups."
Task,"PLAN-001: Define primary objective function and decision rule","Issue found: roadmap lists many metrics but no explicit decision rule for 'better.' Scope: define primary endpoint and guardrail metrics for all phase reports.",High,"proteus,roadmap-fix",Proteus Experiments,"analysis,governance",3,"PT-011;PT-014;PT-016",Cross-cutting,"Primary endpoint is documented (for example AS reduction at fixed fill-delay budget); reports include pass/fail against endpoint and guardrails."
Task,"PLAN-002: Canonical simulation time semantics and unit mapping","Issue found: Delta marked as ms-equivalent without canonical conversion standard. Scope: define canonical time units and conversion for latency/batching.",High,"proteus,roadmap-fix",Proteus Core,"core,execution",3,"PT-003;PT-012",Cross-cutting,"Single canonical unit is defined and enforced in config; conversion functions are tested; all mechanism configs use shared time mapping utilities."
Task,"PLAN-003: Enforce strategy-freeze policy for phase comparisons","Issue found: mechanism-specific MM adaptations may confound treatment effects if introduced too early. Scope: establish gating policy for strategy changes.",Medium,"proteus,roadmap-fix",Proteus Core,"agents,experiments",3,"PT-008;PT-013",Cross-cutting,"Phase comparison runs use common frozen strategy defaults; mechanism-specific adaptations require explicit post-baseline gate and changelog entry."
